Game,Released,Game platforms,Status,Played on,Created,Updated,Rating,Review,Rating Created,Url
Brothers in Arms: Hell's Highway,2008-09-23,"PC, Xbox 360, PlayStation 3",Not played,Xbox 360,2020-02-03 22:06:26,2020-02-03 22:47:51,,,,https://rawg.io/games/brothers-in-arms-hh
Saints Row 2,2008-10-14,"Linux, PC, PlayStation 3, Xbox 360",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:47:26,,,,https://rawg.io/games/saints-row-2
Killing Floor,2009-05-14,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:47:24,,,,https://rawg.io/games/killing-floor
iBomber Defense Pacific,2012-03-01,"PC, macOS, iOS, Linux",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:47:18,,,,https://rawg.io/games/ibomber-defense-pacific
Dungeon Siege 3,2011-05-31,"PC, PlayStation 3, Xbox 360",Played,PC,2020-02-03 22:05:40,2020-02-03 22:47:16,,,,https://rawg.io/games/dungeon-siege-3
"Warhammer 40,000: Space Marine",2011-09-05,"PC, Xbox 360, PlayStation 3",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:47:13,,,,https://rawg.io/games/warhammer-40000-space-marine
EverQuest II Free-To-Play. Your Way.,2011-12-07,PC,Played,PC,2020-02-03 22:05:41,2020-02-03 22:47:11,,,,https://rawg.io/games/everquest-ii-free-to-play-your-way
The Darkness II,2012-02-07,"PC, macOS, Xbox 360, PlayStation 3",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:47:09,,,,https://rawg.io/games/the-darkness-ii
Deus Ex: Human Revolution,2011-08-22,"Xbox 360, PlayStation 3, Xbox One, PC, macOS",Played,PC,2020-02-03 22:05:40,2020-02-03 22:46:50,,,,https://rawg.io/games/deus-ex-human-revolution
Endless Space - Emperor Edition,2012-07-04,"PC, macOS",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:46:46,,,,https://rawg.io/games/endless-space-emperor-edition
Race Driver: Grid,2008-06-03,"PC, Xbox One, PlayStation 3, Xbox 360, Nintendo DS",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:46:38,,,,https://rawg.io/games/grid
TrackMania Nations Forever,2008-04-16,PC,Played,PC,2020-02-03 22:05:40,2020-02-03 22:46:29,,,,https://rawg.io/games/trackmania-nations-forever
The Ship: Murder Party,2006-07-11,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:46:19,,,,https://rawg.io/games/the-ship-murder-party
Psychonauts,2005-04-01,"iOS, Linux, macOS, PC, Xbox, PlayStation 4, PlayStation 2, Xbox 360, PlayStation 3, Xbox One",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:46:09,,,,https://rawg.io/games/psychonauts
Gothic 3,2006-10-12,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:46:07,,,,https://rawg.io/games/gothic-3
The Ship: Single Player,2006-11-20,PC,Played,PC,2020-02-03 22:05:40,2020-02-03 22:46:05,,,,https://rawg.io/games/the-ship-single-player
Sid Meier's Civilization III Complete,2001-10-29,PC,Played,PC,2020-02-03 22:05:41,2020-02-03 22:46:02,,,,https://rawg.io/games/sid-meiers-civilization-iii-complete
Enclave,2002-07-18,"PC, macOS, Linux",Played,PC,2020-02-03 22:05:41,2020-02-03 22:45:57,,,,https://rawg.io/games/enclave
Half-Life: Source,2004-06-01,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:45:55,,,,https://rawg.io/games/half-life-source
Oddworld: Abe's Oddysee,1997-08-31,"PC, PlayStation, Android, Game Boy, PSP, PS Vita, PlayStation 3",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:45:50,,,,https://rawg.io/games/oddworld-abes-oddysee
Gothic,2001-03-15,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:45:48,,,,https://rawg.io/games/gothic-1
Half-Life: Opposing Force,1999-11-01,"PC, macOS, Linux",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:45:46,,,,https://rawg.io/games/half-life-opposing-force
Half-Life: Blue Shift,2001-06-01,"Linux, PC, macOS, Dreamcast",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:45:43,,,,https://rawg.io/games/half-life-blue-shift
Half-Life 2,2004-11-16,"Android, Linux, Xbox, macOS, PC, Xbox 360",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:44:39,,,,https://rawg.io/games/half-life-2
The Elder Scrolls IV: Oblivion,2006-03-20,"PC, PlayStation 3, Xbox 360",Played,Xbox 360,2020-02-03 22:06:26,2020-02-03 22:44:36,,,,https://rawg.io/games/the-elder-scrolls-iv-oblivion
Grimm,2011-01-04,"PC, iOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:44:24,,,,https://rawg.io/games/grimm
Galactic Civilizations I: Ultimate Edition,2012-08-14,PC,Not played,PC,2020-02-03 22:05:40,2020-02-03 22:44:15,,,,https://rawg.io/games/galactic-civilizations-i-ultimate-edition
Cubetractor,2013-05-29,"PC, macOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:44:11,,,,https://rawg.io/games/cubetractor
Chronology,2014-05-11,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:44:07,,,,https://rawg.io/games/chronology
Half-Life,1998-11-10,"PC, Linux, macOS, PlayStation 2",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:43:54,,,,https://rawg.io/games/half-life
Litil Divil,1993-01-01,"PC, macOS, Linux, Commodore / Amiga, Classic Macintosh",Played,PC,2020-02-03 22:05:42,2020-02-03 22:43:51,,,,https://rawg.io/games/litil-divil
Cyberia,1993-12-31,"PC, macOS, Linux, Classic Macintosh, SEGA Saturn, PlayStation, 3DO",Played,PC,2020-02-03 22:05:45,2020-02-03 22:43:32,recommended,,2020-02-03 23:15:07,https://rawg.io/games/cyberia
The Lord of the Rings Online,2012-06-06,"PC, macOS",Played,PC,2020-02-03 22:05:41,2020-02-03 22:40:16,,,,https://rawg.io/games/the-lord-of-the-rings-online
Dungeons & Dragons Online,2012-06-25,"PC, macOS",Played,PC,2020-02-03 22:05:41,2020-02-03 22:40:13,,,,https://rawg.io/games/dungeons-dragons-online
Yelaxot,2015-01-19,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:40:05,,,,https://rawg.io/games/yelaxot
Besiege,2015-01-28,"macOS, Linux, PC",Played,PC,2020-02-03 22:05:43,2020-02-03 22:40:03,,,,https://rawg.io/games/besiege
Overture,2015-02-02,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:40:01,,,,https://rawg.io/games/overture
Grimoire: Manastorm,2015-02-04,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:39:59,,,,https://rawg.io/games/grimoire-manastorm
Continent of the Ninth Seal,2012-09-13,PC,Played,PC,2020-02-03 22:05:41,2020-02-03 22:39:35,,,,https://rawg.io/games/continent-of-the-ninth-seal
ROSE Online,2012-10-23,PC,Not played,PC,2020-02-03 22:05:41,2020-02-03 22:39:32,,,,https://rawg.io/games/rose-online
Cortex Command,2012-09-28,"macOS, PC",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:39:30,,,,https://rawg.io/games/cortex-command
Chivalry: Medieval Warfare,2012-10-16,"PC, Linux, macOS, PlayStation 4, PlayStation 3, Xbox 360, Xbox One",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:39:25,,,,https://rawg.io/games/chivalry-medieval-warfare
Bridge Constructor Playground,2012-12-20,"iOS, Android, Linux, macOS, PC, Wii U",Not played,PC,2020-02-03 22:05:42,2020-02-03 22:39:16,,,,https://rawg.io/games/bridge-constructor-playground
Epigenesis,2013-11-01,PC,Not played,PC,2020-02-03 22:05:41,2020-02-03 22:39:11,,,,https://rawg.io/games/epigenesis
Knights and Merchants,2013-02-01,"macOS, Linux, PC",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:39:05,,,,https://rawg.io/games/knights-and-merchants
Tomb Raider (2013),2013-03-05,"PC, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, macOS",Completed,PlayStation 4,2020-02-03 22:06:11,2020-02-03 22:39:03,recommended,,2020-02-03 23:20:59,https://rawg.io/games/tomb-raider
POSTAL,2013-03-21,"PC, Linux, macOS",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:39:01,,,,https://rawg.io/games/postal
Draw Slasher,2013-04-23,"PC, macOS, Linux, iOS, PS Vita",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:38:59,,,,https://rawg.io/games/draw-slasher
The 39 Steps,2013-04-25,"macOS, PC, Linux",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:38:54,,,,https://rawg.io/games/the-39-steps
Fuse,2013-05-28,"PC, macOS, PlayStation 3, Xbox 360",Played,PC,2020-02-03 22:05:43,2020-02-03 22:38:52,,,,https://rawg.io/games/fuse
Viscera Cleanup Detail: Shadow Warrior,2013-09-26,"PC, macOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:38:48,,,,https://rawg.io/games/viscera-cleanup-detail-shadow-warrior
Marvel Heroes,2013-06-03,"macOS, PC, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:38:46,,,,https://rawg.io/games/marvel-heroes-omega
Neverwinter,2013-06-20,"PC, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:40,2020-02-03 22:38:40,,,,https://rawg.io/games/neverwinter
Dota 2,2013-07-09,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:45,2020-02-03 22:38:38,,,,https://rawg.io/games/dota-2
Outlast,2013-09-03,"Linux, PC, macOS, Nintendo Switch, Xbox One, PlayStation 4",Not played,PC,2020-02-03 22:05:43,2020-02-03 22:38:35,,,,https://rawg.io/games/outlast
Megabyte Punch,2013-08-05,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:38:32,,,,https://rawg.io/games/megabyte-punch
The Bureau: XCOM Declassified,2013-08-20,"PC, macOS, PlayStation 3, Xbox 360",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:38:29,,,,https://rawg.io/games/the-bureau-xcom-declassified
Amnesia: A Machine for Pigs,2013-09-09,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:38:25,,,,https://rawg.io/games/amnesia-a-machine-for-pigs
Dead Bits,2014-06-07,"PC, macOS",Played,PC,2020-02-03 22:05:42,2020-02-03 22:38:20,,,,https://rawg.io/games/dead-bits
LEGO Star Wars - The Complete Saga,2007-11-06,"Android, macOS, PC, iOS, PlayStation 3, Nintendo DS, Xbox 360, Wii, Xbox One",Played,PC,2020-02-03 22:05:40,2020-02-03 22:37:59,,,,https://rawg.io/games/lego-star-wars-tcs
Call of Duty: World at War,2008-11-05,"PC, Xbox 360, PlayStation 3, Nintendo DS, Wii",Not played,Xbox 360,2020-02-03 22:06:26,2020-02-03 22:37:56,,,,https://rawg.io/games/call-of-duty-world-at-war
Super Crate Box,2012-01-05,"iOS, PC, macOS, Nintendo Switch, Linux",Played,PC,2020-02-03 22:05:41,2020-02-03 22:37:46,,,,https://rawg.io/games/super-crate-box
Hollow Knight,2017-02-23,"macOS, Linux, PC, Xbox One, PlayStation 4, Nintendo Switch",Completed,,2020-02-03 22:36:34,2020-02-03 22:36:36,,,,https://rawg.io/games/hollow-knight
NieR:Automata,2017-03-17,"PC, Xbox One, PlayStation 4",Played,,2020-02-03 22:36:28,2020-02-03 22:36:30,,,,https://rawg.io/games/nierautomata
Cyberpunk 2077,2020-09-17,"PlayStation 4, Xbox One, PC",Wishlist,,2020-02-03 22:36:27,2020-02-03 22:36:27,,,,https://rawg.io/games/cyberpunk-2077
LittleBigPlanet 2,2011-01-18,PlayStation 3,Completed,PlayStation 3,2020-02-03 22:06:11,2020-02-03 22:35:19,exceptional,,2020-02-03 23:21:00,https://rawg.io/games/littlebigplanet-2
KnightShift,2013-09-27,"PC, macOS",Played,PC,2020-02-03 22:05:41,2020-02-03 22:34:59,,,,https://rawg.io/games/knightshift
Septerra Core,2013-09-27,"Linux, PC, macOS",Played,PC,2020-02-03 22:05:41,2020-02-03 22:34:57,,,,https://rawg.io/games/septerra-core
Nosferatu: The Wrath of Malachi,2014-03-06,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:34:50,,,,https://rawg.io/games/nosferatu-the-wrath-of-malachi
Humanity Asset,2014-02-20,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:34:48,,,,https://rawg.io/games/humanity-asset
Vanguard Princess,2014-03-03,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:34:46,,,,https://rawg.io/games/vanguard-princess
Skyborn,2014-02-21,"Linux, PC, macOS",Not played,PC,2020-02-03 22:05:42,2020-02-03 22:34:44,,,,https://rawg.io/games/skyborn
Overcast - Walden and the Werewolf,2014-04-18,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:34:37,,,,https://rawg.io/games/overcast-walden-and-the-werewolf
Age of Wonders III,2014-03-31,"macOS, PC, Linux",Not played,PC,2020-02-03 22:05:45,2020-02-03 22:33:59,,,,https://rawg.io/games/age-of-wonders-iii
Dungeons 2,2015-04-23,"macOS, iOS, Linux, PC, PlayStation 4",Not played,PC,2020-02-03 22:05:41,2020-02-03 22:33:39,,,,https://rawg.io/games/dungeons-2
Dwarfs!?,2011-05-04,"Linux, PC, macOS",Played,,2020-02-03 22:33:26,2020-02-03 22:33:28,,,,https://rawg.io/games/dwarfs
Dwarf Fortress,2006-08-08,"PC, Linux, macOS",Played,,2020-02-03 22:33:05,2020-02-03 22:33:20,,,,https://rawg.io/games/dwarf-fortress
NetHack,1987-07-01,"PC, iOS",Played,,2020-02-03 22:32:56,2020-02-03 22:32:58,,,,https://rawg.io/games/nethack
DISGAEA 5: ALLIANCE OF VENGEANCE,2015-10-06,"Nintendo Switch, PC, PlayStation 4",Currently playing,,2020-02-03 22:32:14,2020-02-03 22:32:17,,,,https://rawg.io/games/disgaea-5-alliance-of-vengeance
The Culling Of The Cows,2014-05-09,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:31:59,,,,https://rawg.io/games/the-culling-of-the-cows
Brawlhalla,2014-04-30,"PC, macOS, Nintendo Switch, PlayStation 4, Xbox One",Played,PC,2020-02-03 22:05:42,2020-02-03 22:31:56,,,,https://rawg.io/games/brawlhalla
SUPER DISTRO,2015-07-22,PC,Not played,PC,2020-02-03 22:05:43,2020-02-03 22:31:53,,,,https://rawg.io/games/super-distro
Echo of Soul,2015-06-22,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:31:51,,,,https://rawg.io/games/echo-of-soul
Steel Rain,2015-12-03,"Linux, PC",Not played,PC,2020-02-03 22:05:44,2020-02-03 22:31:46,,,,https://rawg.io/games/steel-rain
Gunjitsu,2015-07-31,"PC, macOS",Not played,PC,2020-02-03 22:05:42,2020-02-03 22:31:45,,,,https://rawg.io/games/gunjitsu
Memories of a Vagabond,2014-07-07,PC,Not played,PC,2020-02-03 22:05:42,2020-02-03 22:31:39,,,,https://rawg.io/games/memories-of-a-vagabond
Aura Kingdom,2014-07-24,"PC, iOS",Played,PC,2020-02-03 22:05:42,2020-02-03 22:31:36,,,,https://rawg.io/games/aura-kingdom
